Molecule ChEMBL ID,#RO5 Violations,Smiles,Standard Type,Standard Relation,Standard Value,Standard Units,Assay ChEMBL ID,Assay Description,Assay Type,BAO Format ID,BAO Label,Assay Organism,Assay Tissue ChEMBL ID,Assay Tissue Name,Assay Cell Type,Assay Subcellular Fraction,Target ChEMBL ID,Target Name,Target Organism,Target Type,Document ChEMBL ID,Source ID,Source Description,Document Journal,Document Year,Cell ChEMBL ID,Properties,Action Type
CHEMBL98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3110003,0,O=C(NO)C1c2ccccc2-c2ccccc21,IC50,=,70,nM,CHEMBL3112172,Inhibition of human recombinant HDAC7 catalytic domain using Boc_Lys_TFA as substrate after 60 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3108758,1,Scientific Literature,J Med Chem,2013,None,,
CHEMBL518821,0,O=C(c1ccc(-c2nc(COc3ccc(-c4nnco4)cc3)no2)s1)C(F)(F)F,IC50,=,70,nM,CHEMBL3112172,Inhibition of human recombinant HDAC7 catalytic domain using Boc_Lys_TFA as substrate after 60 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3108758,1,Scientific Literature,J Med Chem,2013,None,,
CHEMBL216641,3,COc1ccc2[nH]c(C)c(CC(=O)N[C@@H](CCCCCC(=O)NO)C(=O)NCCc3c(-c4ccccc4)[nH]c4ccccc34)c2c1,IC50,=,4200,nM,CHEMBL907071,Inhibition of HDAC7 (mean IC50),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1137275,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,,
CHEMBL217651,0,CC(=O)CCCCC[C@H](NC(=O)C1CCCCN1C)C(=O)Nc1nc(-c2ccccc2)cs1,IC50,,,,CHEMBL907071,Inhibition of HDAC7 (mean IC50),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1137275,1,Scientific Literature,Bioorg Med Chem Lett,2006,None,,
CHEMBL483254,0,Cc1[nH]c2ccccc2c1CCNCc1ccc(/C=C/C(=O)NO)cc1,Ki,=,4550,nM,CHEMBL3598918,Inhibition of human HDAC7,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3596180,1,Scientific Literature,Bioorg Med Chem,2015,None,,
CHEMBL3774414,0,COc1ccc(N(C)c2nc(C)nc3ccccc23)cc1OCCCC(=O)NO,Inhibition,,,%,CHEMBL3778493,Inhibition of recombinant HDAC7 (unknown origin) using AMC labeled AC-peptide as substrate at 10 uM incubated for 1 hr by fluorescence analysis,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3774354,1,Scientific Literature,J Med Chem,2016,None,,
CHEMBL401751,1,Nc1ccccc1NC(=O)c1ccc(CNc2nc(NCCN3CCOCC3)nc(NC3Cc4ccccc4C3)n2)cc1,Activity,,,,CHEMBL931668,Activity against HDAC7,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1143113,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,
CHEMBL437029,2,C[C@H]1CN(c2ccc(C(=O)Nc3cc(-c4ccccc4)ccc3N)cn2)CCN1C(=O)OCc1ccccc1,IC50,>,50000,nM,CHEMBL947927,Inhibition of HDAC7,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1143185,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,
CHEMBL3828518,2,COc1ccc(-c2nc(N3CCOCC3)c3nc(CN(C)c4ncc(C(=O)NO)cn4)n(C)c3n2)cc1,IC50,>,1000,nM,CHEMBL3829037,Inhibition of N-terminal GST-tagged human recombinant HDAC7 (518 to end residues) expressed in baculovirus infected insect Sf9 cells using Ac-peptide-AMC as substrate assessed as release of AMC preincubated for 15 mins followed by substrate addition measured after 1 hr by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3826921,1,Scientific Literature,J Med Chem,2016,CHEMBL3308860,,
CHEMBL3329622,3,CC(C)[C@@H]1NC(=O)[C@]2(C)CSC(=N2)c2csc(n2)CNC(=O)C[C@@H](/C=C/CCSSC[C@H](NC(=O)OC(C)(C)C)C(=O)OC(C)(C)C)OC1=O,IC50,,,,CHEMBL3366357,Inhibition of HDAC7 (unknown origin) incubated for 30 mins in presence of BSA and DTT by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3352121,1,Scientific Literature,ACS Med Chem Lett,2014,None,,
CHEMBL3260857,0,C[C@@H](NC(=O)c1cccc(=S)n1O)C(=O)O,IC50,=,50000,nM,CHEMBL3620709,Inhibition of HDAC7 (unknown origin) using Boc-Lys(trifluoroacetyl)-AMC fluorogenic acetylated peptide substrate by fluorometric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3616411,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,
CHEMBL3793392,0,O=C(NO)[C@]1(F)[C@H](c2ccccc2)[C@H]1c1ccc(-c2ncc(F)cn2)cc1,IC50,=,30,nM,CHEMBL3796510,Inhibition of HDAC7 catalytic domain (unknown origin) using Boc-Lys(TFA)-AMC as substrate,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3792315,1,Scientific Literature,ACS Med Chem Lett,2016,None,,
CHEMBL3427747,0,NC(=O)C1CCCc2c(-c3ccccc3Cl)n[nH]c21,Inhibition,,,%,CHEMBL3430209,Inhibition of HDAC7 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3425433,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,
CHEMBL3427755,0,COc1ccc(-c2n[nH]c3c2CCCC3C(N)=O)cc1,Inhibition,,,%,CHEMBL3430209,Inhibition of HDAC7 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3425433,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,
CHEMBL3427756,0,NC(=O)C1CCCc2c(-c3ccc(C(F)(F)F)cc3)n[nH]c21,Inhibition,,,%,CHEMBL3430209,Inhibition of HDAC7 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3425433,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,
CHEMBL3427770,0,CC1(C)Cc2c(-c3ccc(Cl)cc3)n[nH]c2C(C(N)=O)C1,Inhibition,,,%,CHEMBL3430209,Inhibition of HDAC7 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3425433,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,
CHEMBL3427771,0,CC1(C)Cc2c(-c3ccc(Cl)c(Cl)c3)n[nH]c2C(C(N)=O)C1,Inhibition,,,%,CHEMBL3430209,Inhibition of HDAC7 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3425433,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,
CHEMBL402363,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL98,0,O=C(CCCCCCC(=O)Nc1ccccc1)NO,IC50,=,6110,nM,CHEMBL3627134,Inhibition of recombinant human HDAC7 after 60 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3621100,1,Scientific Literature,J Med Chem,2015,None,,
CHEMBL4784006,0,O=C(NO)c1ccc(CNC(=O)c2c(F)c(F)c(F)c(F)c2F)cc1,IC50,>,1000,nM,CHEMBL4708176,Inhibition of recombinant full length human HDAC7 expressed in SF9 baculovirus using FAM- labelled acetylated peptide as substrate measured by Electrophoretic mobility shift assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4706499,1,Scientific Literature,Eur J Med Chem,2020,None,,
CHEMBL4437265,0,O=C(NO)[C@H](Cc1ccccc1)n1cc(-c2ccccc2)nn1,Inhibition,,,%,CHEMBL4431257,Inhibition of HDAC7 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4428137,1,Scientific Literature,ACS Med Chem Lett,2016,None,,
CHEMBL1934909,2,O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1cccc2cc3ccccc3cc12,Kd,=,13000,nM,CHEMBL1937194,Inhibition of recombinant human HDAC7 using Boc-L-Lys(trifluoroacetyl)-MCA as substrate by fluorogenic enzymatic assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1932952,1,Scientific Literature,Bioorg Med Chem,2012,None,,
CHEMBL3827281,2,COc1ccc(-c2nc(N3CCOCC3)c3nc(CN(C)c4ncc(C(=O)NO)cn4)n(C)c3n2)cn1,IC50,>,1000,nM,CHEMBL3829037,Inhibition of N-terminal GST-tagged human recombinant HDAC7 (518 to end residues) expressed in baculovirus infected insect Sf9 cells using Ac-peptide-AMC as substrate assessed as release of AMC preincubated for 15 mins followed by substrate addition measured after 1 hr by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,Sf9,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3826921,1,Scientific Literature,J Med Chem,2016,CHEMBL3308860,,
CHEMBL475293,0,NS(=O)(=O)NC(=O)CCCCCC(=O)Nc1cccc(-c2ccccc2)c1,Activity,,,,CHEMBL1029050,Inhibition of human recombinant N-terminal histidine-tagged HDAC7 expressed in baculovirus by fluorimetry,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1149076,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,
CHEMBL475102,0,CN(CCCCCC(=O)Nc1cccc(-c2ccccc2)c1)S(N)(=O)=O,Activity,,,,CHEMBL1029050,Inhibition of human recombinant N-terminal histidine-tagged HDAC7 expressed in baculovirus by fluorimetry,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1149076,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,
CHEMBL1830396,0,CCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCNC(C)C,Ki,=,77,nM,CHEMBL1832526,Competitive inhibition of HDAC7 using KI-104 as substrate by fluorescence assay,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1828590,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL3260858,0,O=C(N[C@@H](C(=O)O)c1ccccc1)c1cccc(=S)n1O,IC50,=,49000,nM,CHEMBL3620709,Inhibition of HDAC7 (unknown origin) using Boc-Lys(trifluoroacetyl)-AMC fluorogenic acetylated peptide substrate by fluorometric assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3616411,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,
CHEMBL574378,0,CS(=O)(=O)Nc1ccc(C(C(=O)NO)c2ccc(NS(C)(=O)=O)cc2)cc1,IC50,>,10000,nM,CHEMBL1050116,Inhibition of human recombinant N-terminal FLAG-tagged HDAC7 (438-915) expressed in baculovirus after 10 mins by fluorimetric analysis,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1155182,1,Scientific Literature,Bioorg Med Chem Lett,2009,None,,
CHEMBL27759,0,Nc1ccccc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,IC50,>,50000,nM,CHEMBL927767,Inhibition of HDAC7,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1140803,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,
CHEMBL253868,1,Nc1ccc(-c2ccccc2)cc1NC(=O)c1ccc(CNC(=O)OCc2cccnc2)cc1,IC50,>,30000,nM,CHEMBL927767,Inhibition of HDAC7,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1140803,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,
CHEMBL1307946,0,COc1ccc(C(=O)CSc2nc(C)cc(O)n2)cc1,IC50,>,100000,nM,CHEMBL1804896,Inhibition of recombinant HDAC7 assessed as inhibition of fluorogenic aminocoumarin release from substrate by trypsin-coupled biochemical assay,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1800036,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,
CHEMBL1722433,0,Cc1cc(O)nc(SCC(=O)NCCc2ccccc2)n1,IC50,>,100000,nM,CHEMBL1804896,Inhibition of recombinant HDAC7 assessed as inhibition of fluorogenic aminocoumarin release from substrate by trypsin-coupled biochemical assay,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1800036,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,
CHEMBL343448,1,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL146250,2,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3622727,1,C/C=C1\NC(=O)c2csc(n2)[C@@H](C(C)C)NC(=O)C[C@@H](/C=C/CCS)OC(=O)[C@H](C(C)C)NC1=O,IC50,>,10000,nM,CHEMBL3627134,Inhibition of recombinant human HDAC7 after 60 mins by fluorescence assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3621100,1,Scientific Literature,J Med Chem,2015,None,,
CHEMBL1830424,0,CCCCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCN(C)C,Ki,=,70,nM,CHEMBL1832526,Competitive inhibition of HDAC7 using KI-104 as substrate by fluorescence assay,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1828590,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL1830536,0,CC/C=C\CCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCNCC,Ki,=,12,nM,CHEMBL1832526,Competitive inhibition of HDAC7 using KI-104 as substrate by fluorescence assay,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1828590,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL1830537,0,CCCCCc1nc2cc(/C=C/C(=O)NO)ccc2n1CCNC(C)C,Ki,=,42,nM,CHEMBL1832526,Competitive inhibition of HDAC7 using KI-104 as substrate by fluorescence assay,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1828590,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL1958440,0,O=C(/C=C/c1nc2ccccc2o1)NO,ED50,=,286,nM,CHEMBL1961037,Inhibition of human recombinant HDAC7 expressed using baculovirus expression system using Flour- De-Lys as substrate after 3 hrs by fluorescence analysis,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1955831,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,
CHEMBL4095542,1,COc1ccc(NC(=O)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)NO)cc1,Ki,>,50000,nM,CHEMBL4007218,Inhibition of human HDAC7 using Boc-Lys(trifluoroacetyl)-AMC as substrate preincubated for 30 mins followed by substrate addition measured after 60 mins by trypsin-based fluorescence assay,A,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4004881,1,Scientific Literature,Bioorg Med Chem Lett,2017,None,,
CHEMBL257632,0,Nc1nc(NCc2ccc(C(=O)Nc3ccccc3N)cc2)nc(N2CCOCC2)n1,Activity,,,,CHEMBL931668,Activity against HDAC7,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1143113,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,
CHEMBL27759,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL3617543,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL1957266,1,Cc1sc2c(c1C)C(c1ccc(Cl)cc1)=N[C@@H](CC(=O)OC(C)(C)C)c1nnc(C)n1-2,IC50,,,,CHEMBL4344661,Inhibition of HDAC7 (unknown origin) using biotinylated histone H3 KAc peptide (1 to 21 residues) as substrate by HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4342471,1,Scientific Literature,J Med Chem,2020,None,,
CHEMBL4465902,2,CCCCN(Cc1ccc(C(=O)NO)cc1)C(=O)Nc1ccc(OCCCCCn2cc(CNc3cccc4c3C(=O)N(C3CCC(=O)NC3=O)C4=O)nn2)cc1,IC50,>,300,nM,CHEMBL4312393,Inhibition of human N-terminal tagged human HDAC7 expressed in HEK293T/17 using Boc-[TFA-Lys]-AMC as substrate preincubated for 10 mins followed by substrate addition and measured after 60 mins by fluorescence assay,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4311941,1,Scientific Literature,J Med Chem,2019,None,,
CHEMBL1958439,0,COc1ccc(NS(=O)(=O)c2cccc(/C=C/C(=O)NO)c2)cc1,ED50,=,42,nM,CHEMBL1961037,Inhibition of human recombinant HDAC7 expressed using baculovirus expression system using Flour- De-Lys as substrate after 3 hrs by fluorescence analysis,B,BAO_0000019,assay format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1955831,1,Scientific Literature,Bioorg Med Chem Lett,2012,None,,
CHEMBL2105763,0,Cn1cc(CNCC2CCN(c3ncc(C(=O)NO)cn3)CC2)c2ccccc21,Ki,=,1.7,nM,CHEMBL4236290,Inhibition of human recombinant HDAC7 using fluorogenic HDAC substrate class 2a after 45 mins by fluorimetrc method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4229543,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,,
CHEMBL4241370,0,CC(C)(CCCCC(=O)NO)Nc1c(Nc2ccc(C(F)(F)F)cc2)c(=O)c1=O,Ki,=,1700,nM,CHEMBL4236290,Inhibition of human recombinant HDAC7 using fluorogenic HDAC substrate class 2a after 45 mins by fluorimetrc method,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4229543,1,Scientific Literature,Bioorg Med Chem Lett,2018,None,,
CHEMBL4581033,0,Cc1noc(C)c1-c1nc2sc3c(c2c(=O)[nH]1)CCN(CC(=O)Nc1ccccc1N)C3,IC50,>,10000,nM,CHEMBL4344661,Inhibition of HDAC7 (unknown origin) using biotinylated histone H3 KAc peptide (1 to 21 residues) as substrate by HTRF assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4342471,1,Scientific Literature,J Med Chem,2020,None,,
CHEMBL1800250,0,Cc1cc(O)nc(SCC(=O)c2ccccc2)n1,IC50,>,100000,nM,CHEMBL1804896,Inhibition of recombinant HDAC7 assessed as inhibition of fluorogenic aminocoumarin release from substrate by trypsin-coupled biochemical assay,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1800036,1,Scientific Literature,Bioorg Med Chem Lett,2011,None,,
CHEMBL4445862,1,Cc1ccc(CN2C(=O)N(c3ccc(Cl)cc3)C(=O)C2CCC(=O)Nc2ccc(C(=O)NO)cc2)cc1,IC50,>,100000,nM,CHEMBL4307326,Inhibition of HDAC7 (unknown origin) using Ac-LeuGlyLys(tfa)-AMC as substrate preincubated for 5 mins followed by substrate addition and measured after 60 mins by fluorescence based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4304789,1,Scientific Literature,ACS Med Chem Lett,2019,None,,
CHEMBL3427760,0,NC(=O)C1CCCc2c(-c3cc4ccccc4o3)n[nH]c21,Inhibition,,,%,CHEMBL3430209,Inhibition of HDAC7 (unknown origin),B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3425433,1,Scientific Literature,Bioorg Med Chem Lett,2015,None,,
CHEMBL3735447,0,O=C(Nc1ccc(-c2ccccc2)cc1)c1coc(-c2ccccc2O)n1,Inhibition,=,19.4,%,CHEMBL3738434,Inhibition of human recombinant HDAC7 at 20 uM using Boc-Lys(Tfa)-AMC as substrate after 30 to 60 mins by microplate reader assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3734759,1,Scientific Literature,Medchemcomm,2015,None,,
CHEMBL3735171,0,O=C(Nc1ccccc1)c1ccc(CNC(=O)c2coc(-c3ccccc3O)n2)cc1,Inhibition,=,9.9,%,CHEMBL3738434,Inhibition of human recombinant HDAC7 at 20 uM using Boc-Lys(Tfa)-AMC as substrate after 30 to 60 mins by microplate reader assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL3734759,1,Scientific Literature,Medchemcomm,2015,None,,
CHEMBL4640415,0,O=C(O)c1cccc(-c2ccc(C3(C(=O)Nc4ccc(C(=O)NO)cc4)CCCC3)cc2)c1,IC50,=,920,nM,CHEMBL4606154,Inhibition of human recombinant HDAC7 pre-incubated for 15 mins before Ac-Leu-Gly-Lys(trifluroAc)-AMC substrate addition and measured after 60 mins by fluorescence based assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4602725,1,Scientific Literature,J Med Chem,2020,None,,
CHEMBL99,0,CC(/C=C/C(=O)NO)=C\[C@@H](C)C(=O)c1ccc(N(C)C)cc1,IC50,=,139,nM,CHEMBL1921149,Inhibition of human recombinant HDAC7 using fluorophore-conjugated substrate Boc-L-Lys(Ac)-AMC after 60 mins,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1914352,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL1914702,2,[N-]=[N+]=NCc1cc(N=[N+]=[N-])cc(C(=O)Nc2ccc(-c3cc(C(=O)NCCCCCCC(=O)NO)no3)cc2)c1,Ratio IC50,=,16,,CHEMBL1920776,Selectivity ratio of compound IC50 to TSA IC50 for human recombinant HDAC7 using fluorophore-conjugated substrate Boc-L-Lys(Ac)-AMC after 60 mins,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1914352,1,Scientific Literature,J Med Chem,2011,None,,
CHEMBL1934906,2,O=C(NO)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(F)(F)C(=O)Nc1ccccc1-c1ccccc1,Kd,=,14000,nM,CHEMBL1937194,Inhibition of recombinant human HDAC7 using Boc-L-Lys(trifluoroacetyl)-MCA as substrate by fluorogenic enzymatic assay,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1932952,1,Scientific Literature,Bioorg Med Chem,2012,None,,
CHEMBL98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHEMBL236678,0,Nc1ccccc1NC(=O)c1cccnc1,IC50,>,50000,nM,CHEMBL947927,Inhibition of HDAC7,B,BAO_0000357,single protein format,None,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL1143185,1,Scientific Literature,Bioorg Med Chem Lett,2008,None,,
CHEMBL4451623,1,CC[C@H](Nc1ncnc2[nH]cnc12)c1nc2cccc(CCCCCC(=O)NO)c2c(=O)n1-c1ccccc1,IC50,=,24400,nM,CHEMBL4405133,Inhibition of recombinant human N-terminal GST-tagged HDAC7 (518 to 991 residues) expressed in baculovirus infected insect cells using fluorogenic HDAC class2a as substrate measured after 1 to 2 hrs by fluorescence assay,B,BAO_0000219,cell-based format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4402587,1,Scientific Literature,J Med Chem,2020,None,,
CHEMBL4097399,0,CC#CCOc1ccc(C(=O)N[C@H](C(=O)NO)C(C)(C)N)cc1,IC50,>,30000,nM,CHEMBL4030361,Inhibition of human HDAC7,B,BAO_0000357,single protein format,Homo sapiens,None,None,None,None,CHEMBL2716,Histone deacetylase 7,Homo sapiens,SINGLE PROTEIN,CHEMBL4028845,1,Scientific Literature,J Med Chem,2017,None,,
CHEMBL98,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
